day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
78,1677.7321042425842,-80187.76419242067,337509.5918530229,-44098.58507859372,65765.5285910333
79,1705.0192844949913,-78596.67986705828,344651.0839511526,-44308.63793656515,66222.0951142673
80,1721.9561133607597,-79862.7662226522,350594.92135845334,-44544.76295138924,66802.02241614864
81,1738.708514583309,-80870.01185294066,383445.9243765464,-44758.91671026914,67231.73749824564
82,1756.7316759201437,-80314.83923340462,385359.5029552456,-44981.80254309037,67731.20733335396
83,1780.7134195979784,-78935.56222376609,410272.5525220426,-45153.648995207164,68245.97365222796
84,1800.763124604457,-80076.39611616074,416235.8060673263,-45350.041451738114,68704.68710338656
85,1827.882582614076,-80093.17555093409,395468.2973356068,-45568.214213616506,69178.04571044771
86,1851.068030759989,-81410.9612462776,414867.6784414848,-45778.83491750401,69667.84744660144
87,1876.3674239684922,-80936.34636426745,419383.48677248677,-45989.41147525883,70187.34121362044
88,1896.313252128908,-81759.38915669502,456966.4515401907,-46212.407164594224,70563.1913801497
89,1915.2628184181024,-82227.78413774546,439444.1970616731,-46439.75558747383,71016.51292266762
90,1934.0149116108146,-82109.6175935123,442544.3411468385,-46640.27752270718,71520.61113428063
91,1952.4037838572071,-82833.22531959933,447305.2447395016,-46808.4772390773,71995.73204036437
92,1976.9354081114443,-82549.92725306067,441823.45331572334,-47003.326409765614,72525.89875120895
93,1992.490515388706,-83027.35099699261,459764.7151861645,-47196.71701668145,72940.10104760565
94,2017.0623346086845,-83950.0271151002,473944.088633796,-47395.83832726714,73434.81231951383
95,2028.9446262236695,-83529.30631019601,472859.4522395828,-47569.84698020052,73713.77653087619
96,2047.844277259574,-82927.35237738918,504545.9466013676,-47727.2262153189,74196.21030669966
97,2074.5494737540466,-83138.91554477958,480689.19342874346,-47941.0799055353,74675.60267673183
98,2088.3465563514897,-83481.5489474069,494300.13209448307,-48156.8035483516,75154.09359277152
99,2107.213807632296,-83266.95953307084,504754.20352411084,-48342.97681733236,75623.63918159707
100,2133.476654955316,-83386.62250965777,518081.8423141551,-48512.47231537412,76098.77144234588
101,2151.3436137863623,-83796.67493615749,515815.61348227924,-48664.834468947396,76518.0741751639
102,2174.1358696191032,-83337.81752312729,508596.6934789324,-48873.23844588083,76991.3859526144
103,2193.2621550239614,-84346.43589851822,519027.01551524055,-49043.00035299919,77515.91020743317
104,2215.8516982974697,-84405.45116835582,493584.820440363,-49229.58287323101,77943.65469431932
105,2233.816024903667,-84062.69773765473,499117.4793202165,-49392.151880612284,78354.07880847306
106,2257.504589651522,-83448.10964165376,538631.7577062687,-49559.72580546104,78742.40312735527
107,2273.6950360766077,-84035.7746253552,558315.2699666002,-49755.93536964429,79202.81083772381
108,2288.763704568168,-84311.10472370619,517617.75822545827,-49946.96461814786,79635.98625989642
109,2312.017871251494,-83782.29156722141,513138.34967027983,-50130.503498613594,80088.20119940049
110,2332.158024420014,-84058.48266197645,510462.844740857,-50299.21866667312,80474.06789302324
