day,mean_ote,min_ote,max_ote,p5_ote,p95_ote
35,702.3381108228671,-67932.97253434012,167799.3196408039,-31736.193620635007,41224.202932731016
36,723.9977053239429,-67283.71080046108,178052.1031932909,-32147.967159856795,41912.29330057737
37,738.175006498064,-67040.09233940212,175133.93846294002,-32525.962525799663,42588.14235059725
38,757.6050495287427,-67564.97438004795,196522.77267255596,-32916.13084169407,43210.41366914592
39,781.6623125320409,-67739.14450553601,212494.18483293094,-33301.44158000353,43814.05568791057
40,801.4126628732847,-66784.66785414585,195969.08249903691,-33679.724112041426,44439.522010465276
41,823.4563758279137,-67598.10415819954,196673.29449871398,-34030.92159065766,45074.909656464966
42,844.195840565816,-68365.72845895682,183525.68501121545,-34339.2860507484,45582.79085321404
43,857.0203409443315,-68887.95620233547,188774.62427169934,-34650.56837308641,46158.98445759076
44,884.06121389152,-68468.59544024515,192243.8948333605,-34982.54019565814,46815.413412235655
45,908.2424821586358,-69306.49488375231,210857.8002150536,-35317.195612671225,47431.76795271796
46,930.8473197522081,-69686.33711245382,229500.0048318961,-35653.91958879944,48042.29280387891
47,951.2511137992931,-69349.77776262362,229633.70896579511,-35975.14918510177,48673.55716618328
48,971.6339410270809,-68747.82172822875,234072.16610891043,-36301.0456376301,49337.69918102841
49,997.830983584385,-69813.16942722342,228405.82443582753,-36631.01731108798,49988.786643251886
50,1015.9486292731616,-71512.40794170386,227748.71306524903,-36944.5226335414,50557.49957065722
51,1036.112647191419,-71367.33246209145,260327.9390811227,-37235.141387805714,51080.75765868475
52,1058.4718302028953,-72065.57828535819,295127.9834698635,-37504.787434903774,51650.33362437043
53,1081.635215984181,-73555.21421890013,313713.5655205707,-37777.43982277378,52204.247277140894
54,1102.1906537481004,-74094.64933253727,320312.99664724147,-38064.29350027868,52723.075381861636
55,1121.8479505883454,-73185.3569998374,337647.74840273435,-38373.35560450295,53268.41791938765
56,1139.881399056548,-74768.11374211671,330820.39574269974,-38664.351965808964,53815.43100106607
57,1157.631630788276,-75831.1783889348,326441.2773188385,-38953.55556992598,54334.80004538793
58,1173.6026912750483,-75271.63830008204,319622.4002282722,-39267.27790185987,54877.75584442041
59,1195.812430924228,-75529.10595481431,333673.49793150235,-39536.84474893287,55485.64968758191
60,1216.8840411614217,-75794.6019717841,323161.4058672391,-39800.705802574405,56040.531433480624
61,1233.9131468732205,-77329.08514154889,378614.9797762828,-40070.128454542624,56556.0143483592
62,1261.300031611833,-77569.12425024828,380805.67535979213,-40305.76167432252,57118.046537670954
63,1282.2848317103271,-78725.94666001714,405366.63730836567,-40543.95048050146,57601.669598153494
64,1305.1542639532777,-80082.05683588047,406472.88570222375,-40796.29659767464,58146.232430132426
65,1320.605928931666,-80332.07202434904,406811.6560371472,-41084.435183357426,58674.183915227564
66,1340.420880726847,-81246.68158958967,408098.1473772684,-41329.70160189039,59242.82833999016
67,1362.6836084355084,-81146.57834569627,419210.4411967058,-41592.91867555984,59761.50558499724
68,1387.7830508131626,-80797.33004696405,419809.8221310757,-41850.24690732923,60306.95635451532
69,1411.375649264922,-80954.36589256657,424059.47063071246,-42093.81788241038,60817.67480185547
70,1430.166802932963,-81381.80314057681,417267.6025431813,-42348.05133479831,61390.6109452269
71,1449.9492647022948,-82650.1083094405,383717.5420389964,-42590.452777935854,61827.64976117213
72,1474.942005336823,-83816.17965005293,371826.75080609694,-42807.03264090327,62348.224904837276
73,1495.7809813409017,-84087.15526825325,351977.7175945192,-43014.62619724377,62738.79422284918
74,1512.9667078560365,-84171.39997722014,385494.9370948579,-43230.50110638936,63242.15613770361
75,1536.8871123266197,-85077.45343144018,379084.97190395946,-43465.823265905965,63817.354117944706
76,1549.963409293636,-85193.48641278157,373966.26315329387,-43690.32408762285,64280.67888494149
77,1573.4451825634048,-84455.93180666024,404311.4044573877,-43901.33532581209,64791.656451729206
78,1597.5481455770966,-84963.83485189121,428514.85308859876,-44136.77999391753,65218.941544198235
79,1609.4002309956945,-84861.99158688147,394105.0606229773,-44351.34335200157,65756.70897858647
80,1638.3266364742121,-86404.27878754659,395588.4357250965,-44582.54278237264,66300.14980843102
81,1653.7072451217102,-86183.91320085694,381597.2604501746,-44823.12787049703,66788.90257365571
